,timestamp,open,high,low,close,volume,wap,barCount,trd_prd
0,2024-09-03 09:30:00,177.55,178.26,176.17,177.69,4431652,177.34,15598,2024.09
1,2024-09-03 10:00:00,177.67,177.69,175.56,175.98,4589648,176.547,21850,2024.09
2,2024-09-03 11:00:00,176.02,176.93,175.26,175.52,2549826,176.267,11884,2024.09
3,2024-09-03 12:00:00,175.52,176.41,175.45,176.27,2109854,175.957,10689,2024.09
4,2024-09-03 13:00:00,176.27,176.88,176.17,176.2,2037978,176.456,10220,2024.09
5,2024-09-03 14:00:00,176.21,176.7,175.95,176.59,2422308,176.334,12226,2024.09
6,2024-09-03 15:00:00,176.59,176.76,175.48,176.31,5308406,176.242,27370,2024.09
7,2024-09-04 09:30:00,174.44,174.84,173.28,174.24,3569654,174.144,12661,2024.09
8,2024-09-04 10:00:00,174.22,175.97,173.03,175.97,3694696,174.746,19032,2024.09
9,2024-09-04 11:00:00,175.97,175.98,174.42,174.88,2191292,175.198,10374,2024.09
10,2024-09-04 12:00:00,174.87,175.2,174.51,174.65,1181699,174.866,6184,2024.09
11,2024-09-04 13:00:00,174.63,174.63,172.73,173.05,1864412,173.48,9384,2024.09
12,2024-09-04 14:00:00,173.05,173.43,172.86,172.96,1848618,173.094,8885,2024.09
13,2024-09-04 15:00:00,172.96,173.74,172.54,173.3,4430085,173.199,22683,2024.09
14,2024-09-05 09:30:00,175.03,178.48,174.99,178.3,5370059,177.125,23430,2024.09
15,2024-09-05 10:00:00,178.33,179.88,177.66,177.73,6661643,178.812,31402,2024.09
16,2024-09-05 11:00:00,177.74,177.99,176.45,176.84,4130750,177.375,19204,2024.09
17,2024-09-05 12:00:00,176.86,177.27,176.6,176.88,2531552,176.87,11315,2024.09
18,2024-09-05 13:00:00,176.89,177.75,176.32,177.72,2123562,176.859,10057,2024.09
19,2024-09-05 14:00:00,177.72,178.48,177.44,177.88,1931250,177.833,10273,2024.09
20,2024-09-05 15:00:00,177.89,178.13,176.97,177.89,4178402,177.518,23493,2024.09
21,2024-09-06 09:30:00,177.28,178.38,175.69,175.72,2689204,177.111,12278,2024.09
22,2024-09-06 10:00:00,175.72,175.95,173.07,173.49,3867213,174.521,20124,2024.09
23,2024-09-06 11:00:00,173.48,174.31,172.01,172.01,3808864,172.946,18934,2024.09
24,2024-09-06 12:00:00,172.01,172.44,171.65,171.9,2339936,171.996,11642,2024.09
25,2024-09-06 13:00:00,171.91,173.07,171.82,172.33,1857622,172.451,9712,2024.09
26,2024-09-06 14:00:00,172.33,172.45,171.76,171.8,1951007,172.049,9866,2024.09
27,2024-09-06 15:00:00,171.79,172.75,171.16,171.44,5022502,171.946,27860,2024.09
28,2024-09-09 09:30:00,174.53,175.34,173.53,175.13,2853797,174.72,11260,2024.09
29,2024-09-09 10:00:00,175.15,175.25,173.66,173.8,2925243,174.345,12917,2024.09
30,2024-09-09 11:00:00,173.8,175.29,173.51,175.29,2270823,174.296,8825,2024.09
31,2024-09-09 12:00:00,175.28,175.77,175.1,175.62,1583126,175.438,7147,2024.09
32,2024-09-09 13:00:00,175.62,175.85,174.57,174.64,1466168,175.273,6491,2024.09
33,2024-09-09 14:00:00,174.63,174.8,173.85,174.03,1780597,174.305,8028,2024.09
34,2024-09-09 15:00:00,174.01,175.55,173.67,175.43,3815672,174.661,18504,2024.09
35,2024-09-10 09:30:00,177.49,179.9,177.05,179.5,4360044,178.752,19530,2024.09
36,2024-09-10 10:00:00,179.51,179.87,176.79,177.34,3295058,178.365,16872,2024.09
37,2024-09-10 11:00:00,177.35,178.96,177.18,177.81,2224205,178.171,10918,2024.09
38,2024-09-10 12:00:00,177.81,179.08,177.38,178.81,2277369,178.199,11002,2024.09
39,2024-09-10 13:00:00,178.82,180.5,178.76,180.0,3594007,179.898,14599,2024.09
40,2024-09-10 14:00:00,180.01,180.37,179.35,179.65,2065939,179.83,9047,2024.09
41,2024-09-10 15:00:00,179.64,180.34,179.25,179.56,3657106,179.762,19143,2024.09
42,2024-09-11 09:30:00,180.03,180.25,177.58,178.12,3354327,178.723,13967,2024.09
43,2024-09-11 10:00:00,178.14,178.31,175.73,176.44,3184497,176.99,16639,2024.09
44,2024-09-11 11:00:00,176.43,178.07,175.82,177.92,2311276,177.133,11283,2024.09
45,2024-09-11 12:00:00,177.95,179.11,177.84,178.75,2088407,178.549,9118,2024.09
46,2024-09-11 13:00:00,178.75,181.71,178.71,181.32,4437448,180.478,19318,2024.09
47,2024-09-11 14:00:00,181.31,182.57,181.08,182.33,3732698,181.893,17186,2024.09
48,2024-09-11 15:00:00,182.34,184.99,182.27,184.43,7647946,183.693,37768,2024.09
49,2024-09-12 09:30:00,184.86,186.2,183.54,185.02,3580090,185.252,15661,2024.09
50,2024-09-12 10:00:00,185.04,185.66,183.56,183.99,2818141,184.721,14420,2024.09
51,2024-09-12 11:00:00,183.99,185.11,183.75,184.32,1669615,184.509,8530,2024.09
52,2024-09-12 12:00:00,184.3,185.88,184.26,185.82,1617530,185.055,7811,2024.09
53,2024-09-12 13:00:00,185.82,186.33,185.37,186.32,1966154,185.819,10151,2024.09
54,2024-09-12 14:00:00,186.33,187.41,186.07,187.2,3076536,186.797,14985,2024.09
55,2024-09-12 15:00:00,187.21,187.21,186.32,187.07,3892497,186.859,22064,2024.09
56,2024-09-13 09:30:00,187.0,188.49,185.91,187.68,3296672,187.49,15403,2024.09
57,2024-09-13 10:00:00,187.69,188.5,187.11,187.22,2816663,187.731,14860,2024.09
58,2024-09-13 11:00:00,187.22,187.79,186.89,187.59,1746275,187.358,8912,2024.09
59,2024-09-13 12:00:00,187.58,187.94,186.2,186.87,1951621,186.868,9578,2024.09
60,2024-09-13 13:00:00,186.87,187.55,186.79,187.36,1542736,187.259,7794,2024.09
61,2024-09-13 14:00:00,187.36,187.64,186.77,186.9,1372088,187.141,6865,2024.09
62,2024-09-13 15:00:00,186.9,187.12,186.35,186.47,2732109,186.767,15403,2024.09
63,2024-09-16 09:30:00,185.29,185.81,183.55,185.49,3317929,184.719,14225,2024.09
64,2024-09-16 10:00:00,185.48,185.63,183.52,183.84,2981905,184.434,15475,2024.09
65,2024-09-16 11:00:00,183.85,184.81,183.36,184.28,1903922,184.215,10038,2024.09
66,2024-09-16 12:00:00,184.3,184.36,183.68,184.3,1493185,184.006,7602,2024.09
67,2024-09-16 13:00:00,184.29,185.16,183.96,185.11,1859953,184.564,8872,2024.09
68,2024-09-16 14:00:00,185.1,185.53,184.75,185.32,1367249,185.132,6881,2024.09
69,2024-09-16 15:00:00,185.32,185.35,184.73,184.89,2452891,185.031,14120,2024.09
70,2024-09-17 09:30:00,186.84,188.88,186.34,188.28,3991894,187.868,17681,2024.09
71,2024-09-17 10:00:00,188.32,189.45,188.03,188.36,3229711,188.756,16310,2024.09
72,2024-09-17 11:00:00,188.38,188.52,187.79,188.44,1655413,188.21,8807,2024.09
73,2024-09-17 12:00:00,188.44,188.54,186.19,186.96,1777841,187.317,9202,2024.09
74,2024-09-17 13:00:00,186.96,187.15,186.14,186.84,1310347,186.838,7220,2024.09
75,2024-09-17 14:00:00,186.84,187.3,186.52,186.88,1210537,186.955,6531,2024.09
76,2024-09-17 15:00:00,186.88,187.2,186.61,186.92,2634862,186.852,15299,2024.09
77,2024-09-18 09:30:00,186.45,186.76,185.06,186.57,2190845,186.129,9950,2024.09
78,2024-09-18 10:00:00,186.53,187.41,186.15,187.09,1849289,186.828,9615,2024.09
79,2024-09-18 11:00:00,187.1,187.25,185.66,185.77,1140570,186.298,6405,2024.09
80,2024-09-18 12:00:00,185.75,186.76,185.65,186.66,1268078,186.311,5659,2024.09
81,2024-09-18 13:00:00,186.67,187.17,186.5,186.8,1014214,186.761,5126,2024.09
82,2024-09-18 14:00:00,186.8,188.8,186.25,187.34,4308917,187.919,24264,2024.09
83,2024-09-18 15:00:00,187.32,188.09,186.06,186.43,4732014,186.843,28609,2024.09
84,2024-09-19 09:30:00,190.04,190.39,188.73,188.81,4416526,189.743,17156,2024.09
85,2024-09-19 10:00:00,188.88,190.99,188.78,189.2,4585217,189.986,21428,2024.09
86,2024-09-19 11:00:00,189.24,189.52,188.47,188.79,2598873,189.069,11810,2024.09
87,2024-09-19 12:00:00,188.79,189.85,188.71,189.25,2309968,189.431,9414,2024.09
88,2024-09-19 13:00:00,189.24,189.81,188.94,189.62,1922614,189.401,9789,2024.09
89,2024-09-19 14:00:00,189.62,189.89,189.02,189.87,1933395,189.541,9818,2024.09
90,2024-09-19 15:00:00,189.86,189.99,189.16,189.9,4547164,189.603,24611,2024.09
91,2024-09-20 09:30:00,190.28,190.96,189.35,189.45,8326524,190.285,11835,2024.09
92,2024-09-20 10:00:00,189.47,189.79,188.14,188.25,2559812,189.168,13644,2024.09
93,2024-09-20 11:00:00,188.25,189.38,187.41,189.36,3051032,188.281,15820,2024.09
94,2024-09-20 12:00:00,189.36,190.54,189.3,190.37,2632463,189.969,13165,2024.09
95,2024-09-20 13:00:00,190.37,190.74,189.66,189.66,1797475,190.318,9653,2024.09
96,2024-09-20 14:00:00,189.67,190.08,189.15,190.01,2324871,189.511,12206,2024.09
97,2024-09-20 15:00:00,190.01,191.84,189.46,191.6,7107615,190.77,37881,2024.09
98,2024-09-23 09:30:00,191.63,192.4,190.57,191.84,3321702,191.632,13643,2024.09
99,2024-09-23 10:00:00,191.85,192.26,191.22,191.71,2056232,191.818,10696,2024.09
100,2024-09-23 11:00:00,191.73,191.9,191.05,191.73,1567975,191.514,8361,2024.09
101,2024-09-23 12:00:00,191.73,193.32,191.63,193.25,3598621,192.636,15573,2024.09
102,2024-09-23 13:00:00,193.25,193.32,192.6,192.94,1444500,192.976,7681,2024.09
103,2024-09-23 14:00:00,192.94,194.29,192.93,194.02,3258586,193.601,13628,2024.09
104,2024-09-23 15:00:00,194.02,194.41,193.46,193.93,4491343,193.995,24473,2024.09
105,2024-09-24 09:30:00,194.3,195.37,191.96,192.01,4054823,193.415,17251,2024.09
